Threshold,AUC
0.81,-0.982213
0.811,-0.982213
0.812,-0.982213
0.813,-0.982213
0.814,-0.982213
0.815,-0.982213
0.816,-0.982213
0.817,-0.982213
0.818,-0.982213
0.819,-0.982213
0.82,-0.982213
0.821,-0.982213
0.822,-0.982213
0.823,-0.982213
0.824,-0.982213
0.825,-0.982213
0.826,-0.982213
0.827,-0.982213
0.828,-0.982213
0.829,-0.982213
0.83,-0.982213
0.831,-0.982213
0.832,-0.982213
0.833,-0.982213
0.834,-0.982213
0.835,-0.982213
0.836,-0.982213
0.837,-0.982213
0.838,-0.982213
0.839,-0.982213
0.84,-0.982213
0.841,-0.982213
0.842,-0.982213
0.843,-0.982213
0.844,-0.982213
0.845,-0.982213
0.846,-0.982213
0.847,-0.982213
0.848,-0.982213
0.849,-0.982213
0.85,-0.982213
0.851,-0.982213
0.852,-0.982213
0.853,-0.982213
0.854,-0.982213
0.855,-0.982213
0.856,-0.982213
0.857,-0.982213
0.858,-0.982213
0.859,-0.982213
0.86,-0.982213
0.861,-0.982213
0.862,-0.982213
0.863,-0.982213
0.864,-0.982213
0.865,-0.982213
0.866,-0.982213
0.867,-0.982213
0.868,-0.982213
0.869,-0.982213
0.87,-0.982213
0.871,-0.982213
0.872,-0.982213
0.873,-0.982213
0.874,-0.982213
0.875,-0.982213
0.876,-0.982213
0.877,-0.982213
0.878,-0.982213
0.879,-0.982213
0.88,-0.982213
0.881,-0.982213
0.882,-0.982213
0.883,-0.982213
0.884,-0.982213
0.885,-0.982213
0.886,-0.982213
0.887,-0.982213
0.888,-0.982213
0.889,-0.982213
0.89,-0.982213
0.891,-0.982213
0.892,-0.982213
0.893,-0.982213
0.894,-0.982213
0.895,-0.982213
0.896,-0.982213
0.897,-0.982213
0.898,-0.982213
0.899,-0.982213
0.9,-0.982213
0.901,-0.982213
0.902,-0.982213
0.903,-0.982213
0.904,-0.982213
0.905,-0.982213
0.906,-0.982213
0.907,-0.982213
0.908,-0.982213
0.909,-0.982213
0.91,-0.982213
0.911,-0.982213
0.912,-0.982213
0.913,-0.982213
0.914,-0.982213
0.915,-0.982213
0.916,-0.982213
0.917,-0.982213
0.918,-0.982213
0.919,-0.982213
0.92,-0.982213
0.921,-0.982213
0.922,-0.982213
0.923,-0.982213
0.924,-0.982213
0.925,-0.982213
0.926,-0.982213
0.927,-0.982213
0.928,-0.982213
0.929,-0.982213
0.93,-0.982213
0.931,-0.982213
0.932,-0.982213
0.933,-0.982213
0.934,-0.982213
0.935,-0.982213
0.936,-0.982213
0.937,-0.982213
0.938,-0.982213
0.939,-0.982213
0.94,-0.982213
0.941,-0.982213
0.942,-0.982213
0.943,-0.982213
0.944,-0.982213
0.945,-0.982213
0.946,-0.982213
0.947,-0.982213
0.948,-0.982213
0.949,-0.982213
0.95,-0.982213
0.951,-0.982213
0.952,-0.982213
0.953,-0.982213
0.954,-0.982213
0.955,-0.982213
0.956,-0.982213
0.957,-0.982213
0.958,-0.982213
0.959,-0.982213
0.96,-0.982213
0.961,-0.982213
0.962,-0.982213
0.963,-0.982213
0.964,-0.982213
0.965,-0.982213
0.966,-0.982213
0.967,-0.982213
0.968,-0.982213
0.969,-0.982213
0.97,-0.982213
0.971,-0.982213
0.972,-0.982213
0.973,-0.982213
0.974,-0.982213
0.975,-0.982213
0.976,-0.982213
0.977,-0.982213
0.978,-0.982213
0.979,-0.982213
0.98,-0.982213
0.981,-0.982213
0.982,-0.982213
0.983,-0.982213
0.984,-0.982213
0.985,-0.982213
0.986,-0.982213
0.987,-0.982213
0.988,-0.982213
0.989,-0.982213
0.99,-0.982213
0.991,-0.982213
0.992,-0.982213
0.993,-0.982213
0.994,-0.982213
0.995,-0.982213
0.996,-0.982213
0.997,-0.982213
0.998,-0.982213
0.999,-0.982213
