编号,性别 男1女0,籍贯,身高(cm),体重(kg),鞋码,50米成绩,肺活量,喜欢颜色,喜欢运动,喜欢文学
645,0,四川,159.0,50.0,36.0,10.4,1500,白,0.0,1.0
813,1,辽宁,180.0,63.0,43.0,7.2,3500,粉,1.0,0.0
287,0,四川,155.0,44.0,35.0,8.9,3200,粉,0.0,1.0
867,1,贵州,170.0,60.0,42.0,8.6,4000,黑色,0.0,1.0
86,0,安徽,160.0,43.0,35.0,8,3300,黑,1.0,1.0
446,0,江西,160.0,51.0,37.0,8.3,3200,白,1.0,1.0
405,1,江西赣州,173.0,90.0,44.0,7.8,4800,蓝 绿,1.0,1.0
449,1,广西,171.0,74.0,42.0,8.1,3500,蓝,0.0,0.0
267,1,陕西,180.0,75.0,44.0,7.1,5500,灰,1.0,0.0
851,1,重庆,181.0,68.0,44.0,6.9,4500,绿,1.0,1.0
440,0,重庆,165.0,55.0,39.0,8.2,4500,黑白灰,1.0,0.0
444,0,海南海口,163.0,53.0,38.0,9.6,3800,黑、棕、绿,0.0,1.0
493,0,四川,155.0,46.0,36.0,8.8,3500,紫,1.0,0.0
185,1,四川,165.0,64.0,39.5,7.5,3500,绿,1.0,1.0
2,1,河南,171.0,64.0,41.0,7.5,3500,蓝,0.0,0.0
753,0,河南,167.0,52.0,37.0,8,3300,绿,0.0,1.0
86,0,安徽,160.0,43.0,35.0,8,3300,黑,1.0,1.0
188,0,湖北,166.0,51.0,38.0,8,3500,紫,0.0,1.0
704,1,安徽,179.0,60.0,42.0,7.6,3500,绿,0.0,
642,0,四川,160.0,46.0,36.0,10,2400,紫,1.0,1.0
211,1,吉林,181.0,60.0,41.0,7,6000,白,1.0,0.0
273,0,浙江,152.0,40.0,37.0,7.3,2000,蓝,0.0,0.0
644,1,江西,171.0,65.0,41.0,7.2,4200,蓝,1.0,1.0
345,0,四川,161.0,46.0,37.0,9,2700,绿,0.0,0.0
106,1,重庆,167.0,60.0,41.0,7,4500,蓝,0.0,0.0
834,1,江西,170.0,85.0,42.0,7.7,4000,蓝,0.0,0.0
817,0,江西,163.0,50.0,37.0,9.8,2500,蓝,0.0,1.0
565,0,山西,161.0,37.0,38.0,8.7,2800,灰,0.0,0.0
302,0,四川,160.0,50.0,37.0,8.9,3000,蓝,0.0,0.0
243,1,四川,172.0,60.0,42.0,8.5,3500,橙,1.0,0.0
738,1,广东,175.0,70.0,43.0,7.5,4000,蓝色,1.0,0.0
288,0,辽宁,159.0,53.0,38.0,9.1,3150,红,1.0,1.0
889,1,广东,165.0,60.0,42.0,8.7,3800,藏蓝色,1.0,1.0
202,0,山东,158.0,50.0,36.0,9,3000,绿,1.0,1.0
469,1,安徽,181.0,78.0,43.0,7.6,4500,粉,1.0,1.0
316,1,四川,175.0,65.0,42.0,7,4200,黑,1.0,0.0
420,0,重庆荣昌,165.0,58.0,37.0,7.5,3200,绿色,1.0,1.0
719,0,湖北,163.0,55.0,38.0,9,3600,粉红色,0.0,0.0
42,1,陕西,183.0,100.0,44.0,9,4800,蓝,0.0,0.0
762,0,四川,163.0,52.0,38.0,9.5,3400,蓝色,0.0,1.0
705,0,四川,162.0,48.0,38.0,7.9,2600,灰,1.0,0.0
881,0,广东,167.0,55.0,40.0,10,2300,蓝色,0.0,0.0
450,0,湖北,170.0,50.0,37.0,8.5,3000,绿,0.0,0.0
560,0,四川,160.0,51.0,37.0,8.4,3200,红,0.0,0.0
534,1,四川,173.0,52.0,40.0,7.8,3900,黑,0.0,0.0
324,1,新疆,180.0,83.0,42.0,7.3,3500,黑,1.0,0.0
78,0,福建,158.0,51.0,37.0,8,3600,绿,0.0,0.0
492,0,山西,168.0,53.0,38.0,8.5,3200,黑,1.0,1.0
916,1,四川,176.0,68.0,42.0,7.5,4000,白色,1.0,1.0
874,1,安徽,177.0,66.0,42.0,7.2,4900,橙色,1.0,1.0
359,1,山西太原,178.0,60.0,41.0,6.8,5000,蓝,1.0,0.0
642,0,四川,160.0,46.0,36.0,10,2400,紫,1.0,1.0
413,1,河北保定,177.0,70.0,43.0,7.3,5500,绿色,1.0,0.0
102,1,江西,172.0,56.0,40.0,6.9,4200,黄,1.0,1.0
206,1,四川,168.0,56.0,41.0,6.8,4000,蓝,0.0,1.0
475,1,四川,182.0,65.0,42.0,7,4500,灰,1.0,1.0
162,0,河南,168.0,57.0,38.0,7.5,3300,红,1.0,1.0
759,1,广东,173.0,67.0,43.0,7.3,4900,白色,1.0,0.0
101,1,辽宁,178.0,65.0,42.0,7.3,4300,黑,1.0,0.0
788,1,广西,168.0,58.0,42.0,7.9,3800,蓝,1.0,0.0
919,1,广东,179.0,73.0,43.0,7.5,5000,白色,1.0,1.0
732,0,广东,163.0,110.0,38.0,9.2,3000,绿,0.0,1.0
220,0,福建,158.0,46.0,36.0,9,3500,紫,1.0,1.0
85,0,山东,168.0,60.0,39.0,8,3200,蓝,1.0,1.0
690,0,四川,168.0,59.0,39.0,9.8,3800,紫,1.0,1.0
773,0,江苏,166.0,49.0,40.0,10,4000,蓝,1.0,1.0
849,0,安徽,162.0,49.0,36.0,8.9,2900,粉,0.0,
752,1,湖南,178.0,75.0,42.5,8,4000,白,1.0,1.0
791,1,河南,180.0,85.0,43.0,8.1,5500,蓝,1.0,0.0
59,1,广东,175.0,65.0,43.0,7.5,4000,粉,0.0,1.0
833,1,四川,173.0,65.0,42.0,8.2,4500,橙,1.0,1.0
577,1,湖北,171.0,60.0,41.0,7.8,4500,黑,1.0,1.0
578,0,四川,167.0,62.0,38.0,8.8,2900,蓝,0.0,1.0
753,0,河南,167.0,52.0,37.0,8,3300,绿,0.0,1.0
283,0,陕西,170.0,65.0,38.0,9.4,3000,紫,1.0,1.0
32,0,四川,175.0,50.0,38.0,9,3800,蓝,0.0,1.0
