Training_ID,Kernel,Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
77,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931885391528789,696,18,699,27
77,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905013783032499,706,55,662,17
77,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947935052884791,697,17,700,26
78,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931692486945183,696,18,699,27
78,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904984847344956,706,55,662,17
78,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947664986467744,697,17,700,26
79,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931518872819936,696,18,699,27
79,poly,0.95,0.9764868603042877,0.9232914923291492,0.990439648836496,706,55,662,17
79,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947684276926103,697,17,700,26
80,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932020424737311,696,18,699,27
80,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904126421947912,706,55,662,17
80,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946719754008075,697,17,700,26
81,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931596034653379,696,18,699,27
81,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905592496783315,706,55,662,17
81,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947028401341844,697,17,700,26
82,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931692486945182,696,18,699,27
82,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905254913762007,706,55,662,17
82,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947780729217907,697,17,700,26
83,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931383839611413,696,18,699,27
83,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905004137803318,706,55,662,17
83,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948050795634955,697,17,700,26
84,linear,0.96875,0.9626556016597511,0.9748953974895398,0.993167319648682,696,18,699,27
84,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904203583781352,706,55,662,17
84,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947664986467744,697,17,700,26
85,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931461001444855,696,18,699,27
85,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903267996550865,706,55,662,17
85,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948031505176594,697,17,700,26
86,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931383839611413,696,18,699,27
86,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903914226905945,706,55,662,17
86,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946989820425123,697,17,700,26
87,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931750358320265,696,18,699,27
87,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905110235324301,706,55,662,17
87,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947510662800859,697,17,700,26
88,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932078296112394,696,18,699,27
88,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904936621199054,706,55,662,17
88,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947279177300532,697,17,700,26
89,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931788939236985,696,18,699,27
89,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904087841031189,706,55,662,17
89,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947992924259872,697,17,700,26
90,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931904681987149,696,18,699,27
90,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904444714510862,706,55,662,17
90,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947028401341844,697,17,700,26
91,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931190935027807,696,18,699,27
91,poly,0.95,0.9764868603042877,0.9232914923291492,0.990472442615709,706,55,662,17
91,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.994785789105135,697,17,700,26
92,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931808229695347,696,18,699,27
92,poly,0.95,0.9764868603042877,0.9232914923291492,0.990441577882332,706,55,662,17
92,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947066982258566,697,17,700,26
93,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932001134278952,696,18,699,27
93,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904627973865288,706,55,662,17
93,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948089376551676,697,17,700,26
94,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932155457945836,696,18,699,27
94,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903345158384308,706,55,662,17
94,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947684276926103,697,17,700,26
95,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931441710986495,696,18,699,27
95,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904695490469548,706,55,662,17
95,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946758334924797,697,17,700,26
96,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931673196486821,696,18,699,27
96,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904782297532171,706,55,662,17
96,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948147247926757,697,17,700,26
97,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931653906028461,696,18,699,27
97,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904444714510862,706,55,662,17
97,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947433500967416,697,17,700,26
98,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932348362529442,696,18,699,27
98,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904232519468895,706,55,662,17
98,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947414210509056,697,17,700,26
99,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932097586570754,696,18,699,27
99,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905148816241022,706,55,662,17
99,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947568534175941,697,17,700,26
100,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931461001444855,696,18,699,27
100,poly,0.95,0.9764868603042877,0.9232914923291492,0.990438684313578,706,55,662,17
100,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947124853633647,697,17,700,26
101,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931229515944529,696,18,699,27
101,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904830523678072,706,55,662,17
101,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947240596383811,697,17,700,26
102,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932792043071735,696,18,699,27
